employeePositionID,allowanceID
6,2
7,6
9,9
10,5
10,2
10,4
11,3
12,8
20,2
21,10
23,5
26,1
26,7
29,1
29,2
31,10
31,4
33,9
41,9
41,10
46,6
46,9
48,5
51,1
52,7
52,3
52,5
52,9
53,5
54,1
59,7
61,7
61,8
63,4
63,6
67,4
67,10
74,7
74,2
75,5
76,1
81,10
83,4
84,9
85,10
86,1
98,9
98,7
98,10
98,4
98,6
99,9
99,6
99,8
100,1
102,7
102,9
104,2
104,8
111,6
111,3
111,8
112,10
116,7
116,1
118,7
120,9
122,9
123,8
123,3
126,3
129,5
139,3
140,5
140,2
140,8
141,2
142,6
146,7
147,1
153,6
153,10
154,9
157,5
157,9
167,10
167,3
168,8
172,7
173,3
175,10
178,8
179,8
181,3
183,4
184,8
187,2
190,2
190,1
190,6
191,4
191,6
195,5
196,2
196,7
196,9
197,1
198,9
198,7
201,6
201,4
209,5
210,9
210,4
211,3
216,5
217,8
217,6
218,5
221,5
230,7
234,1
241,9
250,1
250,9
251,7
254,8
254,3
256,7
256,8
256,3
263,5
266,1
268,8
270,8
270,9
275,2
277,10
280,2
280,5
281,2
282,8
282,5
284,5
284,1
287,1
287,10
287,3
288,8
289,2
289,3
293,6
294,3
297,8
298,10
300,1
305,10
305,3
305,8
305,2
311,5
321,7
322,3
323,3
323,2
324,4
327,6
327,5
335,6
335,2
345,4
348,1
363,10
364,8
366,9
371,7
371,1
371,10
374,7
382,2
384,4
385,4
386,7
393,2
395,7
398,9
400,1
404,6
408,10
410,5
411,7
412,8
414,9
419,8
419,1
424,5
426,3
427,4
429,1
431,5
433,6
433,4
434,1
436,5
440,5
442,6
444,4
456,5
457,2
458,4
461,8
462,2
463,1
465,7
466,8
473,3
476,3
478,10
479,7
485,6
487,8
489,6
495,4
497,10
499,7
500,9
504,3
504,7
504,8
504,4
504,1
504,9
505,3
505,10
507,8
507,5
511,9
513,1
517,9
528,2
529,6
531,1
533,3
533,7
534,4
534,7
534,1
538,9
538,6
539,8
539,10
541,9
541,7
543,9
550,1
550,8
554,7
554,9
555,3
560,1
564,6
567,7
569,10
577,4
577,10
579,4
580,7
581,8
582,3
588,7
588,3
588,5
592,6
592,2
596,5
598,2
598,4
599,1
603,4
603,8
603,7
606,1
606,7
606,3
606,6
606,4
613,7
616,10
618,1
618,6
624,1
626,4
629,3
630,5
636,1
639,3
639,8
639,2
639,10
641,4
641,8
643,6
644,1
646,7
646,9
648,4
651,4
651,1
654,6
654,1
654,8
655,3
656,8
657,3
657,6
657,1
657,8
661,5
662,3
662,2
664,5
668,3
671,7
680,7
686,7
692,9
692,3
695,7
696,10
697,10
698,3
700,5
709,4
715,2
716,6
716,9
716,4
717,8
719,10
719,1
729,10
729,2
733,2
733,9
734,4
736,8
737,2
737,1
737,6
737,8
738,8
739,10
739,6
741,6
743,4
744,1
744,9
750,7
750,1
751,9
751,10
751,7
751,4
752,6
756,6
761,9
761,5
764,10
765,4
767,7
767,10
771,10
774,4
776,6
780,10
780,3
784,9
784,5
792,4
795,5
797,1
799,4
803,5
804,6
810,8
816,5
821,5
822,3
829,9
829,1
829,4
829,7
830,3
831,5
831,1
831,10
832,7
832,4
842,5
846,3
847,2
848,10
851,5
856,6
858,10
