employeePositionID,bonusID
1,8
1,7
1,1
1,2
2,3
2,1
3,3
3,9
7,10
7,2
7,7
8,4
12,4
13,7
16,1
16,6
16,4
16,7
16,2
20,4
23,6
24,8
24,5
33,2
34,9
38,3
38,1
41,7
44,2
45,6
47,9
48,5
48,2
48,4
49,3
50,8
58,2
59,10
61,5
64,1
64,7
67,1
67,2
69,10
69,4
71,9
79,9
79,10
84,6
84,9
86,5
89,1
90,7
90,3
90,5
90,9
91,5
92,1
97,7
99,7
99,8
101,4
101,6
105,4
105,10
112,7
112,2
113,5
114,1
119,10
121,4
122,9
123,10
124,1
136,9
136,7
136,10
136,4
136,6
137,9
137,6
137,8
138,1
140,7
140,9
142,2
142,8
149,6
149,3
149,8
150,10
154,7
154,1
156,7
158,9
160,9
161,8
161,3
164,3
167,5
177,3
178,5
178,2
178,8
179,2
180,6
184,7
185,1
191,6
191,10
192,9
195,5
195,9
205,10
205,3
206,8
210,7
211,3
213,10
216,8
217,8
219,3
221,4
222,8
225,2
228,2
228,1
228,6
229,4
229,6
233,5
234,2
234,7
234,9
235,1
236,9
236,7
239,6
239,4
247,5
248,9
248,4
249,3
254,5
255,8
255,6
256,5
259,5
268,7
272,1
279,9
288,1
288,9
289,7
292,8
292,3
294,7
294,8
294,3
301,5
304,1
306,8
308,8
308,9
313,2
315,10
318,2
318,5
319,2
320,8
320,5
322,5
322,1
325,1
325,10
325,3
326,8
327,2
327,3
331,6
332,3
335,8
336,10
338,1
343,10
343,3
343,8
343,2
349,5
359,7
360,3
361,3
361,2
362,4
365,6
365,5
373,6
373,2
383,4
386,1
401,10
402,8
404,9
409,7
409,1
409,10
412,7
420,2
422,4
423,4
424,7
431,2
433,7
436,9
438,1
442,6
446,10
448,5
449,7
450,8
452,9
457,8
457,1
462,5
464,3
465,4
467,1
469,5
471,6
471,4
472,1
474,5
478,5
480,6
482,4
494,5
495,2
496,4
499,8
500,2
501,1
503,7
504,8
511,3
514,3
516,10
517,7
523,6
525,8
527,6
533,4
535,10
537,7
538,9
542,3
542,7
542,8
542,4
542,1
542,9
543,3
543,10
545,8
545,5
549,9
551,1
555,9
566,2
567,6
569,1
571,3
571,7
572,4
572,7
572,1
576,9
576,6
577,8
577,10
579,9
579,7
581,9
588,1
588,8
592,7
592,9
593,3
598,1
602,6
605,7
607,10
615,4
615,10
617,4
618,7
619,8
620,3
626,7
626,3
626,5
630,6
630,2
634,5
636,2
636,4
637,1
641,4
641,8
641,7
644,1
644,7
644,3
644,6
644,4
651,7
654,10
656,1
656,6
662,1
664,4
667,3
668,5
674,1
677,3
677,8
677,2
677,10
679,4
679,8
681,6
682,1
684,7
684,9
686,4
689,4
689,1
692,6
692,1
692,8
693,3
694,8
695,3
695,6
695,1
695,8
699,5
700,3
700,2
702,5
706,3
709,7
718,7
724,7
730,9
730,3
733,7
734,10
735,10
736,3
738,5
747,4
753,2
754,6
754,9
754,4
755,8
757,10
757,1
767,10
767,2
771,2
771,9
772,4
774,8
775,2
775,1
775,6
775,8
776,8
777,10
777,6
779,6
781,4
782,1
782,9
788,7
788,1
789,9
789,10
789,7
789,4
790,6
794,6
799,9
799,5
802,10
803,4
805,7
805,10
809,10
812,4
814,6
818,10
818,3
822,9
822,5
830,4
833,5
835,1
837,4
841,5
842,6
848,8
854,5
859,5
860,3
867,9
867,1
867,4
867,7
868,3
869,5
869,1
869,10
870,7
870,4
880,5
884,3
885,2
886,10
889,5
894,6
896,10
896,9
899,9
901,10
902,1
902,8
905,9
907,7
911,9
911,1
913,5
914,1
914,10
916,9
916,3
917,8
926,10
926,7
928,6
928,4
933,3
936,1
939,1
939,6
940,9
940,3
942,10
951,7
955,5
956,3
957,9
957,4
963,8
964,3
964,5
964,2
964,4
965,7
966,1
966,2
967,9
970,9
970,6
975,1
978,5
978,8
982,2
983,1
990,6
997,5
997,6
999,9
1002,2
1003,6
1005,10
1005,9
1011,4
1012,1
1015,3
1018,10
1018,6
1022,1
1022,3
1022,10
1022,7
1025,1
1026,6
1027,9
1028,8
1028,10
1028,4
1030,6
1030,10
1033,6
1035,2
1038,7
1038,2
1042,7
1042,2
1042,9
1045,2
1045,8
1045,3
1045,4
1045,1
1048,9
1050,10
1051,5
1052,8
1052,4
1054,5
1056,3
1058,9
1061,5
1063,7
1066,9
1066,3
1071,6
1073,8
1074,7
1080,4
1088,6
1091,8
1091,3
1097,5
1097,8
1098,4
1100,6
1103,5
1103,1
1105,4
1109,3
1110,1
1110,6
1110,10
1114,4
1117,6
1119,2
1125,3
1128,3
1128,4
1128,6
1128,10
1128,2
1130,9
1130,2
1137,9
1138,6
1144,6
1151,9
1153,1
1153,3
1154,2
1156,9
1157,4
1158,7
1158,5
1160,4
1161,5
1163,5
1166,8
1168,9
1171,8
1174,9
1177,1
1179,7
1181,1
1183,2
1183,8
1186,2
1202,8
1202,7
1206,10
1209,7
1213,6
1213,9
1215,6
1221,10
1222,2
1223,10
1223,7
1223,8
1224,6
1224,8
1225,6
1231,7
1231,8
1233,5
1237,1
1237,10
1240,7
1241,6
1243,2
1244,1
1245,5
1247,9
1248,2
1248,1
1248,5
1252,10
1256,3
1258,10
1262,2
1263,10
1267,4
1279,2
1279,1
1282,8
1285,8
1286,8
1288,4
1288,9
1289,10
1291,9
1293,3
1295,3
1295,9
1296,6
1301,8
1302,8
1305,7
1307,3
1307,1
1307,8
1307,2
1309,1
1310,6
1310,3
1311,5
1322,4
1322,10
1323,9
1323,2
1323,4
1326,5
1326,7
1326,6
1332,8
1334,3
1334,9
1334,1
1334,7
1338,10
1346,10
1355,5
1356,5
1356,4
1358,10
1358,2
1358,3
1359,5
1362,9
1371,3
1371,2
1375,1
1376,8
1376,3
1376,7
1376,10
1380,2
1386,5
1387,10
1388,8
1388,9
1388,6
1389,6
1392,9
1393,2
1394,3
1394,8
1395,8
1404,3
1405,5
1405,9
1410,5
1413,2
1415,6
1417,7
1420,10
1420,5
1424,1
1424,6
1424,9
1429,1
1429,3
1429,4
1432,9
1432,8
1433,6
1436,5
1436,1
1436,7
1436,6
1436,3
1436,10
1441,5
1442,5
1443,5
1443,8
1443,9
1446,2
1456,1
1469,7
1470,8
1472,6
1476,7
1480,3
1480,7
1481,7
