id,dateYear,dateMonth,employeePositionID
1,2023,2,1
2,2023,3,1
3,2023,4,1
4,2023,5,1
5,2023,6,1
6,2023,7,1
7,2023,8,1
8,2023,9,1
9,2023,10,1
10,2023,10,2
11,2023,11,2
12,2023,12,2
13,2024,1,2
14,2024,2,2
15,2024,3,2
16,2024,4,2
17,2024,5,2
18,2024,6,2
19,2024,7,2
20,2024,8,2
21,2024,9,2
22,2024,10,2
23,2024,11,2
24,2024,12,2
25,2025,1,2
26,2025,2,2
27,2025,3,2
28,2025,4,2
29,2025,5,2
30,2025,6,2
31,2025,7,2
32,2025,8,2
33,2025,9,2
34,2025,10,2
35,2025,11,2
36,2025,12,2
37,2021,4,3
38,2021,5,3
39,2021,6,3
40,2021,7,3
41,2021,8,3
42,2021,9,3
43,2021,10,3
44,2021,11,3
45,2021,12,3
46,2022,1,3
47,2022,2,3
48,2022,3,3
49,2022,4,3
50,2022,5,3
51,2022,6,3
52,2022,7,3
53,2022,8,3
54,2022,9,3
55,2022,10,3
56,2022,11,3
57,2022,12,3
58,2023,1,3
59,2023,2,3
60,2023,3,3
61,2023,4,3
62,2023,5,3
63,2023,6,3
64,2023,7,3
65,2023,8,3
66,2023,9,3
67,2023,10,3
68,2023,11,3
69,2023,12,3
70,2024,1,3
71,2024,2,3
72,2024,3,3
73,2024,4,3
74,2024,5,3
75,2024,6,3
76,2024,7,3
77,2024,8,3
78,2024,9,3
79,2024,10,3
80,2024,11,3
81,2024,12,3
82,2025,1,3
83,2025,2,3
84,2025,3,3
85,2025,4,3
86,2025,5,3
87,2025,6,3
88,2025,7,3
89,2025,8,3
90,2025,9,3
91,2025,10,3
92,2025,11,3
93,2025,12,3
94,2020,1,4
95,2020,2,4
96,2020,3,4
97,2020,4,4
98,2020,5,4
99,2020,6,4
100,2020,7,4
101,2020,8,4
102,2020,9,4
103,2020,10,4
104,2020,11,4
105,2020,12,4
106,2021,1,4
107,2021,2,4
108,2021,3,4
109,2021,4,4
110,2021,5,4
111,2021,6,4
112,2021,7,4
113,2021,8,4
114,2021,9,4
115,2021,10,4
116,2021,11,4
117,2021,12,4
118,2022,1,4
119,2022,2,4
120,2022,3,4
121,2022,4,4
122,2022,5,4
123,2022,6,4
124,2022,7,4
125,2022,8,4
126,2022,9,4
127,2022,10,4
128,2022,11,4
129,2022,12,4
130,2023,1,4
131,2023,2,4
132,2023,3,4
133,2023,4,4
134,2023,5,4
135,2023,6,4
136,2023,7,4
137,2023,8,4
138,2023,9,4
139,2023,10,4
140,2023,11,4
141,2023,12,4
142,2024,1,4
143,2024,2,4
144,2024,3,4
145,2024,4,4
146,2024,5,4
147,2024,6,4
148,2024,7,4
149,2024,8,4
150,2024,9,4
151,2024,10,4
152,2024,11,4
153,2024,12,4
154,2025,1,4
155,2025,2,4
156,2025,3,4
157,2025,4,4
158,2025,5,4
159,2025,6,4
160,2025,7,4
161,2025,8,4
162,2025,9,4
163,2025,10,4
164,2025,11,4
165,2025,12,4
166,2022,10,5
167,2022,11,5
168,2022,12,5
169,2023,1,5
170,2023,2,5
171,2023,3,5
172,2023,4,5
173,2023,5,5
174,2023,6,5
175,2023,7,5
176,2023,8,5
177,2023,9,5
178,2023,10,5
179,2023,11,5
180,2023,12,5
181,2024,1,5
182,2024,2,5
183,2024,3,5
184,2024,4,5
185,2024,5,5
186,2024,6,5
187,2024,7,5
188,2024,8,5
189,2024,9,5
190,2024,10,5
191,2024,11,5
192,2024,12,5
193,2025,1,5
194,2025,2,5
195,2025,3,5
196,2025,4,5
197,2025,5,5
198,2025,6,5
199,2025,7,5
200,2025,8,5
201,2025,9,5
202,2025,10,5
203,2025,11,5
204,2025,12,5
205,2024,1,6
206,2024,2,6
207,2024,3,6
208,2024,4,6
209,2024,5,6
210,2024,6,6
211,2024,7,6
212,2024,8,6
213,2024,9,6
214,2024,10,6
215,2024,11,6
216,2024,12,6
217,2025,1,6
218,2025,1,7
219,2025,2,7
220,2025,3,7
221,2025,4,7
222,2025,5,7
223,2025,6,7
224,2025,7,7
225,2025,7,8
226,2025,7,9
227,2025,8,9
228,2025,9,9
229,2025,10,9
230,2025,11,9
231,2025,12,9
232,2025,11,10
233,2025,12,10
234,2024,10,11
235,2024,11,11
236,2024,12,11
237,2025,1,11
238,2025,2,11
239,2025,3,11
240,2025,4,11
241,2025,5,11
242,2025,6,11
243,2025,7,11
244,2025,8,11
245,2025,9,11
246,2025,10,11
247,2025,11,11
248,2025,12,11
249,2025,12,12
250,2025,12,13
251,2025,12,14
252,2025,12,15
253,2023,11,16
254,2023,12,16
255,2024,1,16
256,2024,2,16
257,2024,3,16
258,2024,4,16
259,2024,5,16
260,2024,6,16
261,2024,7,16
262,2024,8,16
263,2024,9,16
264,2024,10,16
265,2024,11,16
266,2024,12,16
267,2025,1,16
268,2025,2,16
269,2025,3,16
270,2025,4,16
271,2025,5,16
272,2025,6,16
273,2025,7,16
274,2025,8,16
275,2025,9,16
276,2025,10,16
277,2025,11,16
278,2025,12,16
279,2025,8,17
280,2025,9,17
281,2025,10,17
282,2025,11,17
283,2025,12,17
284,2021,1,18
285,2021,2,18
286,2021,3,18
287,2021,3,19
288,2021,4,19
289,2021,5,19
290,2021,6,19
291,2021,7,19
292,2021,8,19
293,2021,9,19
294,2021,10,19
295,2021,11,19
296,2021,12,19
297,2022,1,19
298,2022,2,19
299,2022,3,19
300,2022,4,19
301,2022,5,19
302,2022,6,19
303,2022,7,19
304,2022,8,19
305,2022,9,19
306,2022,10,19
307,2022,11,19
308,2022,12,19
309,2023,1,19
310,2023,2,19
311,2023,3,19
312,2023,4,19
313,2023,5,19
314,2023,6,19
315,2023,7,19
316,2023,8,19
317,2023,9,19
318,2023,10,19
319,2023,11,19
320,2023,12,19
321,2023,12,20
322,2024,1,20
323,2024,2,20
324,2024,3,20
325,2024,4,20
326,2024,5,20
327,2024,6,20
328,2024,7,20
329,2024,8,20
330,2024,9,20
331,2024,10,20
332,2024,11,20
333,2024,12,20
334,2025,1,20
335,2025,2,20
336,2025,3,20
337,2025,4,20
338,2025,5,20
339,2025,6,20
340,2025,7,20
341,2025,8,20
342,2025,9,20
343,2025,10,20
344,2025,11,20
345,2025,12,20
346,2025,9,21
347,2025,10,21
348,2025,11,21
349,2025,12,21
350,2022,12,22
351,2023,1,22
352,2023,2,22
353,2023,3,22
354,2023,4,22
355,2023,5,22
356,2023,6,22
357,2023,7,22
358,2023,8,22
359,2023,9,22
360,2023,10,22
361,2023,11,22
362,2023,12,22
363,2024,1,22
364,2024,2,22
365,2024,3,22
366,2024,4,22
367,2024,5,22
368,2024,6,22
369,2024,7,22
370,2024,8,22
371,2024,9,22
372,2024,10,22
373,2024,11,22
374,2024,12,22
375,2024,12,23
376,2024,12,24
377,2025,1,24
378,2025,2,24
379,2025,3,24
380,2025,4,24
381,2025,5,24
382,2025,6,24
383,2025,7,24
384,2025,8,24
385,2025,9,24
386,2025,10,24
387,2025,11,24
388,2025,12,24
389,2023,12,25
390,2024,1,25
391,2024,2,25
392,2024,3,25
393,2024,4,25
394,2024,5,25
395,2024,6,25
396,2024,7,25
397,2024,8,25
398,2024,9,25
399,2024,10,25
400,2024,11,25
401,2024,12,25
402,2025,1,25
403,2025,2,25
404,2025,3,25
405,2025,4,25
406,2025,5,25
407,2025,6,25
408,2025,7,25
409,2025,8,25
410,2025,9,25
411,2025,10,25
412,2025,11,25
413,2025,12,25
414,2020,1,26
415,2020,2,26
416,2020,3,26
417,2020,4,26
418,2020,5,26
419,2020,6,26
420,2020,7,26
421,2020,8,26
422,2020,9,26
423,2020,10,26
424,2020,11,26
425,2020,12,26
426,2021,1,26
427,2021,2,26
428,2021,3,26
429,2021,4,26
430,2021,5,26
431,2021,6,26
432,2021,7,26
433,2021,8,26
434,2021,9,26
435,2021,10,26
436,2021,11,26
437,2021,12,26
438,2022,1,26
439,2022,2,26
440,2022,3,26
441,2022,4,26
442,2022,5,26
443,2022,6,26
444,2022,7,26
445,2022,8,26
446,2022,9,26
447,2022,10,26
448,2022,11,26
449,2022,12,26
450,2023,1,26
451,2023,2,26
452,2023,3,26
453,2023,4,26
454,2023,5,26
455,2023,6,26
456,2023,7,26
457,2023,8,26
458,2023,9,26
459,2023,10,26
460,2023,11,26
461,2023,12,26
462,2024,1,26
463,2024,2,26
464,2024,3,26
465,2024,4,26
466,2024,5,26
467,2024,6,26
468,2024,7,26
469,2024,8,26
470,2024,9,26
471,2024,10,26
472,2024,11,26
473,2024,12,26
474,2025,1,26
475,2025,2,26
476,2025,3,26
477,2025,4,26
478,2025,5,26
479,2025,6,26
480,2025,7,26
481,2025,8,26
482,2025,9,26
483,2025,10,26
484,2025,11,26
485,2025,12,26
486,2022,4,27
487,2022,5,27
488,2022,6,27
489,2022,7,27
490,2022,8,27
491,2022,9,27
492,2022,10,27
493,2022,11,27
494,2022,12,27
495,2023,1,27
496,2023,2,27
497,2023,3,27
498,2023,4,27
499,2023,4,28
500,2023,5,28
501,2023,5,29
502,2023,6,29
503,2023,7,29
504,2023,8,29
505,2023,9,29
506,2023,10,29
507,2023,11,29
508,2023,12,29
509,2024,1,29
510,2024,2,29
511,2024,3,29
512,2024,4,29
513,2024,5,29
514,2024,6,29
515,2024,7,29
516,2024,8,29
517,2024,9,29
518,2024,10,29
519,2024,11,29
520,2024,12,29
521,2025,1,29
522,2025,2,29
523,2025,3,29
524,2025,4,29
525,2025,5,29
526,2025,6,29
527,2025,7,29
528,2025,8,29
529,2025,9,29
530,2025,10,29
531,2025,11,29
